# Constructed from biom file
#OTU ID	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
EC:1.1.1.22	220.0	46.0	25.0	53.0	455.0	369.0	175.5	8.0	673.5	658.0	721.0	454.0	373.75	418.0	102.0	88.25	282.0	734.5	6.0	12.0	114.0	67.0	2.0	0.0	12.0	0.0	0.0
EC:1.1.1.23	143.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.243	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.25	143.0	46.0	25.0	53.0	236.0	224.5	107.5	8.0	398.0	350.0	432.0	262.0	215.5	218.0	51.0	62.5	180.0	392.0	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
EC:1.1.1.261	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.262	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	26.0	7.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.267	107.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.27	0.0	58.0	25.0	37.0	0.0	24.0	21.5	8.0	16.5	35.0	40.5	27.0	19.5	14.0	0.0	19.0	43.0	5.5	12.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
EC:1.1.1.28	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.284	162.0	0.0	0.0	32.0	455.0	314.0	154.0	0.0	673.0	630.0	742.0	442.0	352.0	408.0	102.0	76.0	246.0	750.0	0.0	0.0	114.0	42.0	2.0	0.0	0.0	0.0	0.0
EC:1.1.1.29	0.0	34.0	25.0	37.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.3	179.0	46.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.30	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	365.0	315.0	379.0	227.0	196.0	204.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.300	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.302	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.303	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	7.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.306	85.0	0.0	0.0	16.0	236.0	168.5	89.5	0.0	355.0	343.0	386.0	221.0	176.0	204.0	51.0	38.0	138.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.308	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.31	30.0	12.0	0.0	32.0	17.0	55.0	21.5	0.0	105.5	35.0	174.5	56.0	55.5	8.0	0.0	19.0	43.0	65.5	6.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.328	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	355.0	315.0	379.0	227.0	196.0	204.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.333	77.0	0.0	0.0	16.0	219.0	181.0	98.5	0.0	324.5	343.0	405.0	229.0	185.75	208.0	51.0	50.25	159.0	380.5	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.336	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.337	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.34	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.343	137.0	12.0	0.0	32.0	253.0	243.0	98.5	8.0	434.5	350.0	484.0	281.0	233.75	214.0	51.0	50.25	159.0	419.5	6.0	12.0	57.0	71.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.346	30.0	0.0	0.0	0.0	17.0	55.0	21.5	0.0	63.5	28.0	42.0	33.0	29.75	10.0	0.0	12.25	36.0	11.5	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.35	85.0	0.0	0.0	16.0	236.0	168.5	89.5	0.0	365.0	343.0	386.0	221.0	176.0	204.0	51.0	38.0	138.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.363	129.0	12.0	0.0	16.0	236.0	243.0	98.5	8.0	381.5	350.0	421.0	260.0	225.75	214.0	51.0	50.25	159.0	392.5	6.0	12.0	57.0	71.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.369	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	355.0	315.0	379.0	265.0	196.0	216.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.37	143.0	0.0	0.0	16.0	236.0	212.0	98.5	0.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	6.0	0.0	0.0
EC:1.1.1.374	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.38	214.0	46.0	25.0	69.0	472.0	387.5	166.5	8.0	710.0	665.0	773.0	473.0	392.0	414.0	102.0	76.0	261.0	762.0	6.0	12.0	114.0	92.0	2.0	0.0	6.0	0.0	0.0
EC:1.1.1.381	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.4	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	7.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.42	107.0	0.0	0.0	16.0	236.0	212.0	98.5	0.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	6.0	0.0	0.0
EC:1.1.1.44	137.0	12.0	0.0	32.0	253.0	243.0	98.5	8.0	434.5	350.0	484.0	281.0	233.75	214.0	51.0	50.25	159.0	419.5	6.0	12.0	57.0	71.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.47	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.49	129.0	12.0	0.0	16.0	236.0	243.0	98.5	8.0	381.5	350.0	421.0	260.0	225.75	214.0	51.0	50.25	159.0	392.5	6.0	12.0	57.0	71.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.53	85.0	0.0	0.0	16.0	236.0	157.0	77.0	0.0	355.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.57	22.0	0.0	0.0	16.0	0.0	31.0	0.0	0.0	16.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.6	0.0	46.0	25.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	6.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
EC:1.1.1.60	22.0	0.0	0.0	16.0	0.0	31.0	0.0	0.0	16.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.67	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.77	0.0	34.0	25.0	37.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
EC:1.1.1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
EC:1.1.1.83	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	26.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.85	179.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.86	143.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.87	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.88	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.93	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	26.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.94	107.0	46.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.1.1.95	294.0	12.0	0.0	32.0	472.0	462.0	175.5	8.0	736.5	658.0	808.0	493.0	441.75	418.0	102.0	88.25	282.0	779.5	6.0	12.0	114.0	142.0	2.0	0.0	12.0	0.0	0.0
EC:1.1.2.3	99.0	0.0	0.0	16.0	219.0	200.5	86.0	0.0	324.5	322.0	391.5	235.0	196.0	204.0	51.0	43.5	137.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.3.15	214.0	0.0	0.0	48.0	472.0	376.0	154.0	0.0	736.0	630.0	821.0	475.0	400.0	408.0	102.0	76.0	246.0	789.0	0.0	0.0	114.0	92.0	2.0	0.0	6.0	0.0	0.0
EC:1.1.3.41	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.3.6	338.0	0.0	0.0	48.0	893.0	670.5	320.5	0.0	1263.0	1288.0	1444.0	869.0	716.0	816.0	204.0	152.0	507.0	1479.0	0.0	0.0	228.0	109.0	4.0	0.0	0.0	0.0	0.0
EC:1.1.3.8	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.5.3	192.0	0.0	0.0	32.0	472.0	369.0	175.5	0.0	736.5	658.0	784.0	513.0	381.75	430.0	102.0	88.25	282.0	761.5	0.0	0.0	114.0	67.0	2.0	0.0	6.0	0.0	0.0
EC:1.1.5.4	0.0	0.0	0.0	0.0	0.0	24.0	21.5	0.0	16.5	35.0	34.0	8.0	9.75	4.0	0.0	12.25	36.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.98.2	99.0	0.0	0.0	0.0	219.0	188.0	77.0	0.0	292.0	315.0	316.0	206.0	188.0	204.0	51.0	38.0	123.0	354.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.98.3	77.0	0.0	0.0	16.0	219.0	181.0	98.5	0.0	324.5	343.0	405.0	229.0	185.75	208.0	51.0	50.25	159.0	380.5	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.99.1	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	365.0	315.0	385.5	227.0	205.75	208.0	51.0	44.75	130.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.10.2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.11.1.15	250.0	92.0	50.0	106.0	472.0	448.0	218.5	24.0	799.5	728.0	860.0	535.0	421.25	438.0	102.0	112.75	354.0	778.5	12.0	36.0	114.0	92.0	2.0	0.0	30.0	0.0	0.0
EC:1.11.1.19	30.0	0.0	0.0	0.0	17.0	55.0	21.5	0.0	63.5	28.0	42.0	14.0	29.75	4.0	0.0	12.25	36.0	11.5	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.11.1.21	85.0	0.0	0.0	16.0	236.0	157.0	77.0	0.0	355.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.11.1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.11.1.6	38.0	34.0	25.0	32.0	34.0	55.0	21.5	0.0	152.5	28.0	168.0	56.0	45.75	4.0	0.0	12.25	36.0	65.5	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.11.1.9	30.0	46.0	25.0	0.0	17.0	42.5	12.5	0.0	57.0	35.0	29.5	6.0	29.75	4.0	0.0	6.75	22.0	6.0	6.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.11.2.4	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.12.1.2	0.0	0.0	0.0	0.0	0.0	11.5	12.5	0.0	0.0	28.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.12.98.1	202.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.12.99.6	0.0	68.0	50.0	74.0	0.0	23.0	25.0	16.0	0.0	56.0	43.0	0.0	19.5	8.0	0.0	13.5	44.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
EC:1.13.11.1	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.13.11.11	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	355.0	315.0	379.0	227.0	196.0	204.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.13.11.2	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.13.11.25	77.0	0.0	0.0	16.0	219.0	157.0	77.0	0.0	308.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.13.11.27	30.0	0.0	0.0	16.0	17.0	31.0	0.0	0.0	73.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.13.11.3	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	32.0	0.0	126.0	42.0	16.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.13.11.49	107.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	371.5	343.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
EC:1.13.11.5	30.0	0.0	0.0	16.0	17.0	31.0	0.0	0.0	63.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.13.11.79	77.0	0.0	0.0	16.0	219.0	157.0	77.0	0.0	308.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.13.12.16	107.0	0.0	0.0	16.0	236.0	212.0	98.5	0.0	391.5	357.0	413.0	235.0	205.75	208.0	51.0	50.25	159.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.14.11.17	85.0	0.0	0.0	16.0	236.0	157.0	77.0	0.0	355.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.14.11.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.14.11.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.14.12.17	0.0	0.0	0.0	0.0	0.0	11.5	12.5	0.0	0.0	28.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.14.13.1	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.14.13.127	85.0	0.0	0.0	16.0	236.0	157.0	77.0	0.0	355.0	315.0	371.0	221.0	176.0	204.0	51.0	38.0	123.0	375.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.14.13.141	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
